Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,179.15,-90.397301,180.0,top
C10,100nF,C_0805_2012Metric,156.649016,-95.65,-90.0,top
C11,10uF,C_1206_3216Metric,149.325002,-101.993037,0.0,top
C12,10uF,C_0805_2012Metric,198.6,-131.379996,90.0,top
C13,100nF,C_0805_2012Metric,196.6,-131.379995,90.0,top
C14,12pF,C_0805_2012Metric,199.9,-125.321902,0.0,top
C15,100nF,C_0805_2012Metric,203.571751,-110.671746,225.0,bottom
C16,1uF,C_0805_2012Metric,190.799999,-131.999995,270.0,bottom
C18,12pF,C_0805_2012Metric,199.9,-122.821902,0.0,top
C2,100nF,C_0805_2012Metric,174.944357,-91.5473,90.0,top
C20,100nF,C_0805_2012Metric,170.924999,-125.000004,0.0,top
C21,1nF,C_0805_2012Metric,150.046271,-109.999996,-90.0,top
C22,100nF,C_0805_2012Metric,164.075001,-125.0,180.0,top
C23,100nF,C_0805_2012Metric,158.799999,-124.949999,-90.0,top
C24,100nF,C_0805_2012Metric,160.8,-124.950001,-90.0,top
C26,100nF,C_0805_2012Metric,154.730001,-106.594298,270.0,bottom
C27,100nF,C_0805_2012Metric,159.55,-117.3125,0.0,top
C28,100nF,C_0805_2012Metric,153.780001,-105.2,180.0,top
C29,220nF,C_0805_2012Metric,136.8,-131.699995,180.0,bottom
C3,47uF,CP_Elec_5x5.9,169.86,-89.199995,90.0,top
C30,10nF,C_0805_2012Metric,124.45,-122.562501,90.0,bottom
C31,10nF,C_0805_2012Metric,124.8,-106.762501,90.0,bottom
C32,100nF,C_0805_2012Metric,149.1,-121.650001,90.0,bottom
C33,100nF,C_0805_2012Metric,150.5,-120.920001,90.0,top
C34,100nF,C_0805_2012Metric,153.4,-125.55,0.0,top
C35,22uF,C_0805_2012Metric,162.57,-118.879999,0.0,bottom
C36,10uF,C_0805_2012Metric,163.319999,-124.379999,0.0,bottom
C37,22uF,C_0805_2012Metric,157.3,-121.85,270.0,bottom
C38,22uF,C_0805_2012Metric,159.3,-121.85,270.0,bottom
C4,100nF,C_0805_2012Metric,178.227533,-97.610605,0.0,top
C5,10uF,C_1206_3216Metric,178.244796,-101.387136,-90.0,top
C6,10uF,C_0805_2012Metric,162.259999,-89.504909,180.0,bottom
C7,330p 1kV,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,161.5,-93.5,180.0,top
C8,330p 1kV,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,161.5,-96.0,180.0,top
C9,47uF,CP_Elec_5x5.9,149.2,-89.199995,180.0,top
D1,LED,LED_0805_2012Metric,197.1,-87.412495,-90.0,top
D13,SMBJ36A,D_SMB,126.999999,-100.499996,0.0,bottom
D14,LED,LED_0805_2012Metric,155.025,-132.0,0.0,top
D15,LL4148,D_MiniMELF,149.05,-129.699996,0.0,bottom
D2,LED,LED_0805_2012Metric,180.09314,-87.412495,-90.0,top
D3,LED,LED_0805_2012Metric,206.7,-98.449995,180.0,top
D4,LED,LED_0805_2012Metric,206.7,-96.249995,180.0,top
D5,ESD5Zxx,D_SOD-523,205.229975,-125.405025,-45.0,top
D6,ESD5Zxx,D_SOD-523,207.769975,-125.2,225.0,bottom
D7,ESD5Zxx,D_SOD-523,207.6,-114.0,135.0,bottom
D8,ESD5Zxx,D_SOD-523,202.4,-116.7,270.0,bottom
J1,TYPE-C-31-M-12,HRO_TYPE-C-31-M-12,189.999999,-89.334995,180.0,top
J2,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,206.005,-119.539999,180.0,top
J3,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,167.459999,-133.199995,-90.0,top
K1,HF49FD_005-1H12T,RELAY_HF49FD_005-1H12T,141.392,-132.4,180.0,top
PS1,RFM-0505S,CONV_RFM-0505S,160.04,-86.999995,180.0,top
Q1,MMBT2222A,SOT-23,154.6625,-132.399996,0.0,bottom
R1,5.1k,R_0805_2012Metric,195.0,-96.962495,-90.0,top
R10,10k,R_0805_2012Metric,186.349999,-131.962495,270.0,bottom
R11,10k,R_0805_2012Metric,184.45,-131.962495,270.0,bottom
R12,4.7k,R_0805_2012Metric,190.6,-127.24768,0.0,bottom
R13,4.7k,R_0805_2012Metric,190.6,-125.0,0.0,bottom
R14,22R,R_0805_2012Metric,199.9,-127.7,0.0,top
R15,22R,R_0805_2012Metric,199.9,-127.7,180.0,bottom
R16,22R,R_0805_2012Metric,197.4,-115.9,135.0,bottom
R17,22R,R_0805_2012Metric,199.4,-118.0,135.0,bottom
R18,10k,R_0805_2012Metric,188.85,-131.962495,90.0,bottom
R2,5.1k,R_0805_2012Metric,185.45,-96.962495,-90.0,top
R21,22R,R_0805_2012Metric,172.1,-131.1,135.0,bottom
R22,22R,R_0805_2012Metric,170.75,-129.75,135.0,bottom
R23,4.7R,R_0805_2012Metric,147.0,-108.499995,180.0,top
R24,4.7R,R_0805_2012Metric,146.999999,-111.499995,180.0,top
R25,10mR,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,142.6,-109.999995,90.0,top
R26,4.7k,R_0805_2012Metric,164.0,-113.9125,-90.0,top
R27,4.7k,R_0805_2012Metric,161.8,-113.9125,-90.0,top
R28,10k,R_0805_2012Metric,152.46,-116.4,-90.0,top
R29,0R,R_0805_2012Metric,120.845235,-108.054761,135.0,bottom
R3,1k,R_0805_2012Metric,199.5,-87.387495,-90.0,top
R30,22k,R_0805_2012Metric,157.1,-102.512499,270.0,bottom
R31,2k,R_0805_2012Metric,159.1,-102.512499,90.0,bottom
R32,1k,R_0805_2012Metric,155.05,-129.7,0.0,top
R33,330R,R_0805_2012Metric,158.7,-131.449996,0.0,bottom
R34,1.5k,R_0805_2012Metric,156.9,-116.4,90.0,top
